
                             _AT:AT3 PI: PART-  _UT:UT3 PI: PART-  _VT:VT3 PI: PART-
                  X             1-1 N: 975_1       1-1 N: 975_1       1-1 N: 975_1  

                0.                 0.                 0.                 0.         
              500.E-06            -7.23168           -2.0714E-06        -7.19378E-03
                1.E-03           981.603E-03         -6.08127E-06       -8.1582E-03 
                1.5E-03         -248.04E-03         -10.0612E-06        -7.8858E-03 
                2.E-03           349.963E-03        -14.0423E-06        -7.98247E-03
                2.5E-03            1.2598           -17.9333E-06        -7.50363E-03
                3.E-03           759.864E-03        -21.5429E-06        -6.97935E-03
                3.5E-03          321.511E-03        -24.958E-06         -6.71693E-03
                4.E-03            47.2791E-03       -28.2911E-06        -6.63972E-03
                4.5E-03          480.102E-03        -31.5957E-06        -6.54157E-03
                5.E-03             1.0007           -34.7776E-06        -6.14056E-03
                5.5E-03          582.9E-03          -37.7321E-06        -5.71431E-03
                6.E-03           213.223E-03        -40.5391E-06        -5.54529E-03
                6.5E-03          498.172E-03        -43.2771E-06        -5.38143E-03
                7.E-03           731.556E-03        -45.893E-06         -5.06343E-03
                7.5E-03            1.06751          -48.3248E-06        -4.63696E-03
                8.E-03             2.20384          -50.4713E-06        -3.85352E-03
                8.5E-03            3.63516          -52.0598E-06        -2.37916E-03
                9.E-03             4.13894          -52.7599E-06      -378.796E-06  
                9.5E-03            3.31265          -52.4542E-06         1.53177E-03
               10.E-03             1.76752          -51.3355E-06         2.81326E-03
               10.5E-03          319.555E-03        -49.7723E-06         3.31794E-03
               11.E-03          -604.295E-03        -48.1178E-06         3.22349E-03
               11.5E-03           -1.11125          -46.6053E-06         2.78458E-03
               12.E-03            -1.51445          -45.369E-06          2.12705E-03
               12.5E-03           -1.76441          -44.5086E-06         1.2931E-03 
               13.E-03            -1.44581          -44.0771E-06       459.092E-06  
               13.5E-03         -391.29E-03         -43.9911E-06       -26.346E-06  
               14.E-03           998.096E-03        -43.9956E-06       125.071E-06  
               14.5E-03            2.07241          -43.7574E-06       917.858E-06  
               15.E-03             2.39292          -43.0172E-06         2.06938E-03
               15.5E-03            1.93509          -41.6955E-06         3.179E-03  
               16.E-03             1.02761          -39.8995E-06         3.92874E-03
               16.5E-03          137.72E-03         -37.8461E-06         4.21021E-03
               17.E-03          -372.301E-03        -35.75E-06           4.13127E-03
               17.5E-03         -389.691E-03        -33.7365E-06         3.92146E-03
               18.E-03           -51.7985E-03       -31.8129E-06         3.80169E-03
               18.5E-03          348.172E-03        -29.9009E-06         3.88008E-03
               19.E-03           511.026E-03        -27.907E-06          4.10933E-03
               19.5E-03          311.222E-03        -25.7932E-06         4.32902E-03
               20.E-03          -115.095E-03        -23.6064E-06         4.38199E-03
               20.5E-03         -507.334E-03        -21.4476E-06         4.22051E-03
               21.E-03          -745.735E-03        -19.4121E-06         3.9019E-03 
               21.5E-03         -961.718E-03        -17.5624E-06         3.47906E-03
               22.E-03            -1.37822          -15.9576E-06         2.90578E-03
               22.5E-03           -2.06738          -14.7032E-06         2.05389E-03
               23.E-03            -2.85829          -13.968E-06        820.576E-06  
               23.5E-03           -3.43725          -13.9429E-06      -768.816E-06  
               24.E-03            -3.5349           -14.7669E-06        -2.53531E-03
               24.5E-03           -3.0763           -16.4628E-06        -4.20968E-03
               25.E-03            -2.21228          -18.9191E-06        -5.5433E-03 
               25.5E-03           -1.22472          -21.926E-06         -6.40151E-03
               26.E-03          -381.531E-03        -25.2422E-06        -6.79281E-03
               26.5E-03          165.144E-03        -28.6601E-06        -6.83331E-03
               27.E-03           404.155E-03        -32.0433E-06        -6.67962E-03
               27.5E-03          436.77E-03         -35.3298E-06        -6.46391E-03
               28.E-03           419.152E-03        -38.5081E-06        -6.25116E-03
               28.5E-03          491.276E-03        -41.5798E-06        -6.02941E-03
